id,lon,lat,class
1,-32.3996789459377,-3.92193790873898,1
2,-32.3983817797792,-3.92193790873898,1
3,-32.3970846136206,-3.92193790873898,1
4,-32.3957874474621,-3.92193790873898,1
5,-32.3944902813035,-3.92193790873898,1
6,-32.393193115145,-3.92193790873898,1
7,-32.4035704444133,-3.92094437491285,1
8,-32.4022732782548,-3.92094437491285,1
9,-32.4009761120962,-3.92094437491285,1
10,-32.3996789459377,-3.92094437491285,1
11,-32.3983817797792,-3.92094437491285,1
12,-32.3970846136206,-3.92094437491285,1
13,-32.3957874474621,-3.92094437491285,1
14,-32.3944902813035,-3.92094437491285,1
15,-32.393193115145,-3.92094437491285,1
16,-32.3918959489865,-3.92094437491285,1
17,-32.3905987828279,-3.92094437491285,3
18,-32.3893016166694,-3.92094437491285,1
19,-32.4074619428889,-3.91995084108671,1
20,-32.4061647767304,-3.91995084108671,1
21,-32.4048676105718,-3.91995084108671,1
22,-32.4035704444133,-3.91995084108671,1
23,-32.4022732782548,-3.91995084108671,1
24,-32.4009761120962,-3.91995084108671,1
25,-32.3996789459377,-3.91995084108671,1
26,-32.3983817797792,-3.91995084108671,1
27,-32.3970846136206,-3.91995084108671,1
28,-32.3957874474621,-3.91995084108671,1
29,-32.3944902813035,-3.91995084108671,1
30,-32.393193115145,-3.91995084108671,3
31,-32.3918959489865,-3.91995084108671,1
32,-32.3905987828279,-3.91995084108671,5
33,-32.3893016166694,-3.91995084108671,5
34,-32.3880044505109,-3.91995084108671,1
35,-32.3867072843523,-3.91995084108671,1
36,-32.3854101181938,-3.91995084108671,1
37,-32.4126506075231,-3.91895730726057,1
38,-32.4113534413645,-3.91895730726057,1
39,-32.410056275206,-3.91895730726057,1
40,-32.4087591090475,-3.91895730726057,1
41,-32.4074619428889,-3.91895730726057,1
42,-32.4061647767304,-3.91895730726057,1
43,-32.4048676105718,-3.91895730726057,1
44,-32.4035704444133,-3.91895730726057,1
45,-32.4022732782548,-3.91895730726057,1
46,-32.4009761120962,-3.91895730726057,1
47,-32.3996789459377,-3.91895730726057,1
48,-32.3983817797792,-3.91895730726057,4
49,-32.3970846136206,-3.91895730726057,4
