id,xloc,yloc,cost,locked_in,locked_out
159,-32.51,-3.91,1.0,0,0
160,-32.5,-3.91,1.0,0,0
161,-32.49,-3.91,1.0,0,0
162,-32.48,-3.91,1.0,0,0
163,-32.47,-3.91,1.0,0,0
164,-32.46,-3.91,1.0,0,0
165,-32.45,-3.91,1.0,0,0
166,-32.44,-3.91,1.0,0,0
167,-32.43,-3.91,1.0,0,0
168,-32.42,-3.91,1.0,0,0
169,-32.41,-3.91,1.0,0,0
170,-32.4,-3.91,1.0,0,0
171,-32.39,-3.91,1.0,0,0
172,-32.38,-3.91,4.47,0,0
173,-32.37,-3.91,6.78,0,0
174,-32.36,-3.91,1.0,0,0
175,-32.35,-3.91,1.0,0,0
176,-32.34,-3.91,1.0,0,0
177,-32.33,-3.91,1.0,0,0
178,-32.32,-3.91,1.0,0,0
179,-32.31,-3.91,1.0,0,0
180,-32.3,-3.91,1.0,0,0
181,-32.65,-3.9,5.98,0,0
182,-32.64,-3.9,6.74,0,0
183,-32.63,-3.9,6.81,0,0
184,-32.62,-3.9,7.84,0,0
185,-32.61,-3.9,6.56,0,0
186,-32.6,-3.9,1.0,0,0
187,-32.59,-3.9,1.0,0,0
188,-32.58,-3.9,1.0,0,0
189,-32.57,-3.9,1.0,0,0
190,-32.56,-3.9,1.0,0,0
191,-32.55,-3.9,1.0,0,0
192,-32.54,-3.9,1.0,0,0
193,-32.53,-3.9,1.0,0,0
194,-32.52,-3.9,1.0,0,0
195,-32.51,-3.9,1.0,0,0
196,-32.5,-3.9,1.0,0,0
197,-32.49,-3.9,1.0,0,0
198,-32.48,-3.9,1.0,0,0
199,-32.47,-3.9,1.0,0,0
200,-32.46,-3.9,1.0,0,0
201,-32.45,-3.9,1.0,0,0
202,-32.44,-3.9,1.0,0,0
203,-32.43,-3.9,1.0,0,0
204,-32.42,-3.9,1.0,0,0
205,-32.41,-3.9,1.0,0,0
206,-32.4,-3.9,1.0,0,0
207,-32.39,-3.9,1.0,0,0
208,-32.38,-3.9,1.0,0,0
209,-32.37,-3.9,7.58,0,0
210,-32.36,-3.9,8.55,0,0
211,-32.35,-3.9,6.61,0,0
212,-32.34,-3.9,1.0,0,0
213,-32.33,-3.9,1.0,0,0
214,-32.32,-3.9,1.0,0,0
215,-32.31,-3.9,1.0,0,0
216,-32.3,-3.9,1.0,0,0
217,-32.65,-3.89,3.64,0,0
218,-32.64,-3.89,1.0,0,0
219,-32.63,-3.89,4.58,0,0
220,-32.62,-3.89,6.95,0,0
221,-32.61,-3.89,8.68,0,0
222,-32.6,-3.89,3.08,0,0
223,-32.59,-3.89,2.61,0,0
224,-32.58,-3.89,1.0,0,0
225,-32.57,-3.89,1.0,0,0
226,-32.56,-3.89,1.0,0,0
227,-32.55,-3.89,1.0,0,0
228,-32.54,-3.89,1.0,0,0
229,-32.53,-3.89,1.0,0,0
230,-32.52,-3.89,1.0,0,0
231,-32.51,-3.89,1.0,0,0
232,-32.5,-3.89,1.0,0,0
233,-32.49,-3.89,1.0,0,0
234,-32.48,-3.89,5.41,0,0
235,-32.47,-3.89,7.31,0,0
236,-32.46,-3.89,1.0,0,0
237,-32.45,-3.89,1.0,0,0
238,-32.44,-3.89,1.0,0,0
239,-32.43,-3.89,1.0,0,0
240,-32.42,-3.89,1.0,0,0
241,-32.41,-3.89,1.0,0,0
242,-32.4,-3.89,1.0,0,0
243,-32.39,-3.89,1.0,0,0
244,-32.38,-3.89,1.0,0,0
245,-32.37,-3.89,6.74,0,0
246,-32.36,-3.89,9.58,0,0
247,-32.35,-3.89,7.94,0,0
248,-32.34,-3.89,1.0,0,0
249,-32.33,-3.89,1.0,0,0
250,-32.32,-3.89,1.0,0,0
251,-32.31,-3.89,1.0,0,0
252,-32.3,-3.89,1.0,0,0
253,-32.65,-3.88,1.0,0,0
254,-32.64,-3.88,7.75,0,0
255,-32.63,-3.88,8.58,0,0
256,-32.62,-3.88,8.56,0,0
257,-32.61,-3.88,10.75,0,0
258,-32.6,-3.88,4.09,0,0
259,-32.59,-3.88,2.95,0,0
260,-32.58,-3.88,3.89,0,0
261,-32.57,-3.88,5.28,0,0
262,-32.56,-3.88,5.26,0,0
263,-32.55,-3.88,1.0,0,0
264,-32.54,-3.88,1.0,0,0
265,-32.53,-3.88,4.74,0,0
266,-32.52,-3.88,1.0,0,0
267,-32.51,-3.88,1.0,0,0
268,-32.5,-3.88,1.0,0,0
269,-32.49,-3.88,5.48,0,0
270,-32.48,-3.88,6.53,0,0
271,-32.47,-3.88,1.0,0,0
272,-32.46,-3.88,1.0,0,0
273,-32.45,-3.88,1.0,0,0
274,-32.44,-3.88,1.0,0,0
275,-32.43,-3.88,1.0,0,0
276,-32.42,-3.88,1.0,0,0
277,-32.41,-3.88,1.0,0,0
278,-32.4,-3.88,1.0,0,0
279,-32.39,-3.88,1.0,0,0
280,-32.38,-3.88,1.0,0,0
281,-32.37,-3.88,1.0,0,0
282,-32.36,-3.88,7.13,0,0
283,-32.35,-3.88,8.47,0,0
284,-32.34,-3.88,1.0,0,0
285,-32.33,-3.88,1.0,0,0
286,-32.32,-3.88,5.38,0,0
287,-32.31,-3.88,1.0,0,0
288,-32.3,-3.88,1.0,0,0
289,-32.65,-3.87,1.0,0,0
290,-32.64,-3.87,7.73,0,0
291,-32.63,-3.87,7.91,0,0
292,-32.62,-3.87,1.0,0,0
293,-32.61,-3.87,1.0,0,0
294,-32.6,-3.87,4.5,0,0
295,-32.59,-3.87,1.69,0,0
296,-32.58,-3.87,4.33,0,0
297,-32.57,-3.87,5.95,0,0
298,-32.56,-3.87,3.64,0,0
299,-32.55,-3.87,1.0,0,0
300,-32.54,-3.87,5.98,0,0
301,-32.53,-3.87,4.09,0,0
302,-32.52,-3.87,4.43,0,0
303,-32.51,-3.87,1.0,0,0
304,-32.5,-3.87,1.0,0,0
305,-32.49,-3.87,3.77,0,0
306,-32.48,-3.87,4.53,0,0
307,-32.47,-3.87,1.0,0,0
308,-32.46,-3.87,1.0,0,0
309,-32.45,-3.87,1.0,0,0
310,-32.44,-3.87,1.0,0,0
311,-32.43,-3.87,1.0,0,0
312,-32.42,-3.87,1.0,0,0
313,-32.41,-3.87,1.0,0,0
314,-32.4,-3.87,1.0,0,0
315,-32.39,-3.87,1.0,0,0
316,-32.38,-3.87,1.0,0,0
317,-32.37,-3.87,1.0,0,0
318,-32.36,-3.87,7.28,0,0
319,-32.35,-3.87,7.11,0,0
320,-32.34,-3.87,1.0,0,0
321,-32.33,-3.87,1.0,0,0
322,-32.32,-3.87,1.0,0,0
323,-32.31,-3.87,1.0,0,0
324,-32.3,-3.87,1.0,0,0
325,-32.65,-3.86,1.0,0,0
326,-32.64,-3.86,1.0,0,0
327,-32.63,-3.86,1.0,0,0
328,-32.62,-3.86,1.0,0,0
329,-32.61,-3.86,1.0,0,0
330,-32.6,-3.86,1.0,0,0
331,-32.59,-3.86,1.0,0,0
332,-32.58,-3.86,1.0,0,0
333,-32.57,-3.86,1.0,0,0
334,-32.56,-3.86,1.0,0,0
335,-32.55,-3.86,3.08,0,0
336,-32.54,-3.86,1.0,0,0
337,-32.53,-3.86,2.95,0,0
338,-32.52,-3.86,1.0,0,0
339,-32.51,-3.86,4.04,0,0
340,-32.5,-3.86,1.0,0,0
341,-32.49,-3.86,6.14,0,0
342,-32.48,-3.86,6.62,0,0
343,-32.47,-3.86,1.0,0,0
344,-32.46,-3.86,1.0,0,0
345,-32.45,-3.86,1.0,0,0
346,-32.44,-3.86,1.0,0,0
347,-32.43,-3.86,1.0,0,0
348,-32.42,-3.86,1.0,0,0
349,-32.41,-3.86,1.0,0,0
350,-32.4,-3.86,1.0,0,0
351,-32.39,-3.86,1.0,0,0
352,-32.38,-3.86,1.0,0,0
353,-32.37,-3.86,3.94,0,0
354,-32.36,-3.86,5.84,0,0
355,-32.35,-3.86,2.95,0,0
356,-32.34,-3.86,2.79,0,0
357,-32.33,-3.86,3.94,0,0
358,-32.32,-3.86,1.0,0,0
359,-32.31,-3.86,1.0,0,0
360,-32.3,-3.86,1.0,0,0
361,-32.65,-3.85,1.0,0,0
362,-32.64,-3.85,1.0,0,0
363,-32.63,-3.85,1.0,0,0
364,-32.62,-3.85,1.0,0,0
365,-32.61,-3.85,1.0,0,0
366,-32.6,-3.85,1.0,0,0
367,-32.59,-3.85,1.0,0,0
368,-32.58,-3.85,1.0,0,0
369,-32.57,-3.85,1.0,0,0
370,-32.56,-3.85,1.0,0,0
371,-32.55,-3.85,1.0,0,0
372,-32.54,-3.85,1.0,0,0
373,-32.53,-3.85,1.0,0,0
374,-32.52,-3.85,1.0,0,0
375,-32.51,-3.85,1.0,0,0
376,-32.5,-3.85,1.0,0,0
377,-32.49,-3.85,1.0,0,0
378,-32.48,-3.85,1.0,0,0
379,-32.47,-3.85,2.95,0,0
380,-32.46,-3.85,4.22,0,0
381,-32.45,-3.85,1.0,0,0
382,-32.44,-3.85,8.6,0,0
383,-32.43,-3.85,8.29,0,0
384,-32.42,-3.85,1.0,0,0
385,-32.41,-3.85,1.0,0,0
386,-32.4,-3.85,1.0,0,0
387,-32.39,-3.85,1.0,0,0
388,-32.38,-3.85,1.0,0,0
389,-32.37,-3.85,4.33,0,0
390,-32.36,-3.85,1.0,0,0
391,-32.35,-3.85,8.15,0,0
392,-32.34,-3.85,5.37,0,0
393,-32.33,-3.85,3.4,0,0
394,-32.32,-3.85,1.0,0,0
395,-32.31,-3.85,1.0,0,0
396,-32.3,-3.85,1.0,0,0
397,-32.65,-3.84,1.0,0,0
398,-32.64,-3.84,1.0,0,0
399,-32.63,-3.84,1.0,0,0
400,-32.62,-3.84,1.0,0,0
401,-32.61,-3.84,1.0,0,0
402,-32.6,-3.84,1.0,0,0
403,-32.59,-3.84,1.0,0,0
404,-32.58,-3.84,1.0,0,0
405,-32.57,-3.84,1.0,0,0
406,-32.56,-3.84,1.0,0,0
407,-32.55,-3.84,1.0,0,0
408,-32.54,-3.84,1.0,0,0
409,-32.53,-3.84,1.0,0,0
410,-32.52,-3.84,1.0,0,0
411,-32.51,-3.84,1.0,0,0
412,-32.5,-3.84,1.0,0,0
413,-32.49,-3.84,1.0,0,0
414,-32.48,-3.84,1.0,0,0
415,-32.47,-3.84,1.0,0,0
416,-32.46,-3.84,8.11,0,0
417,-32.45,-3.84,1.0,0,0
418,-32.44,-3.84,4.89,0,0
419,-32.43,-3.84,8.11,0,0
420,-32.42,-3.84,10.16,0,0
421,-32.41,-3.84,8.42,0,0
422,-32.4,-3.84,1.0,0,0
423,-32.39,-3.84,1.0,0,0
424,-32.38,-3.84,1.0,0,0
425,-32.37,-3.84,1.0,0,0
426,-32.36,-3.84,1.0,0,0
427,-32.35,-3.84,8.16,0,0
428,-32.34,-3.84,4.81,0,0
429,-32.33,-3.84,1.0,0,0
430,-32.32,-3.84,1.0,0,0
431,-32.31,-3.84,1.0,0,0
432,-32.3,-3.84,1.0,0,0
433,-32.65,-3.83,1.0,0,0
434,-32.64,-3.83,1.0,0,0
435,-32.63,-3.83,1.0,0,0
436,-32.62,-3.83,1.0,0,0
437,-32.61,-3.83,1.0,0,0
438,-32.6,-3.83,1.0,0,0
439,-32.59,-3.83,1.0,0,0
440,-32.58,-3.83,1.0,0,0
441,-32.57,-3.83,1.0,0,0
442,-32.56,-3.83,1.0,0,0
443,-32.55,-3.83,1.0,0,0
444,-32.54,-3.83,1.0,0,0
445,-32.53,-3.83,1.0,0,0
446,-32.52,-3.83,1.0,0,0
447,-32.51,-3.83,1.0,0,0
448,-32.5,-3.83,1.0,0,0
449,-32.49,-3.83,1.0,0,0
450,-32.48,-3.83,1.0,0,0
451,-32.47,-3.83,1.0,0,0
452,-32.46,-3.83,1.0,0,0
453,-32.45,-3.83,1.0,0,0
454,-32.44,-3.83,1.0,0,0
455,-32.43,-3.83,1.0,0,0
456,-32.42,-3.83,4.71,0,0
457,-32.41,-3.83,8.96,0,0
458,-32.4,-3.83,7.64,0,0
459,-32.39,-3.83,1.0,0,0
460,-32.38,-3.83,1.0,0,0
461,-32.37,-3.83,1.0,0,0
462,-32.36,-3.83,4.93,0,0
463,-32.35,-3.83,6.3,0,0
464,-32.34,-3.83,1.0,0,0
465,-32.33,-3.83,1.0,0,0
466,-32.32,-3.83,1.0,0,0
467,-32.31,-3.83,1.0,0,0
468,-32.3,-3.83,1.0,0,0
469,-32.65,-3.82,1.0,0,0
470,-32.64,-3.82,1.0,0,0
471,-32.63,-3.82,1.0,0,0
472,-32.62,-3.82,1.0,0,0
473,-32.61,-3.82,1.0,0,0
474,-32.6,-3.82,1.0,0,0
475,-32.59,-3.82,1.0,0,0
476,-32.58,-3.82,1.0,0,0
477,-32.57,-3.82,1.0,0,0
478,-32.56,-3.82,1.0,0,0
479,-32.55,-3.82,1.0,0,0
480,-32.54,-3.82,1.0,0,0
481,-32.53,-3.82,1.0,0,0
482,-32.52,-3.82,1.0,0,0
483,-32.51,-3.82,1.0,0,0
484,-32.5,-3.82,1.0,0,0
485,-32.49,-3.82,1.0,0,0
486,-32.48,-3.82,1.0,0,0
487,-32.47,-3.82,1.0,0,0
488,-32.46,-3.82,1.0,0,0
489,-32.45,-3.82,3.08,0,0
490,-32.44,-3.82,4.74,0,0
491,-32.43,-3.82,1.0,0,0
492,-32.42,-3.82,1.0,0,0
493,-32.41,-3.82,1.0,0,0
494,-32.4,-3.82,7.38,0,0
495,-32.39,-3.82,4.56,0,0
496,-32.38,-3.82,1.0,0,0
497,-32.37,-3.82,1.0,0,0
498,-32.36,-3.82,7.63,0,0
499,-32.35,-3.82,7.97,0,0
500,-32.34,-3.82,1.0,0,0
501,-32.33,-3.82,1.0,0,0
502,-32.32,-3.82,1.0,0,0
503,-32.31,-3.82,1.0,0,0
504,-32.3,-3.82,1.0,0,0
505,-32.65,-3.81,1.0,0,0
506,-32.64,-3.81,1.0,0,0
507,-32.63,-3.81,1.0,0,0
508,-32.62,-3.81,1.0,0,0
